UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jim,@jennesscapital,2020-01-06T23:03:20.000Z,"Jim
@jennesscapital
·
Jan 6, 2020",$SPLK 20d tap and go. $ZM similar (in regards to 20d tap),,,,6,[],https://twitter.com/jennesscapital/status/1214321580307812352
SwingTradeBot,@SwingTradeBot,2020-01-06T22:39:27.000Z,"SwingTradeBot
@SwingTradeBot
·
Jan 6, 2020",Scan results - Crossed Above 50 DMA today: $HABT $SDC $CRWD $WW $TENB $PCH $GD $ZM $GIS $QLYS $IPGP $SF $PSA $GILD $LH $IIPR $PEP $HCSG $TPX $PS ...,,,,1,[],https://twitter.com/SwingTradeBot/status/1214315570147053569
Tuan Pham,@15minofPham,2020-01-07T23:40:14.000Z,"Tuan Pham
@15minofPham
·
Jan 7, 2020","Tues (1/7/20) Options highest ORB, Up/Avg Gain of today's thirteen 30-min bars, G/L % in final 30-Min (Min $10 & Vol 1M, Opt Price $0.76-$1.00 & Vol 500-1000 in any strike): $BYND $WDC $TCOM $CAG $AMAT $PTON $AVLR $MU $NVCR $ANF $ZM $LRCX $AMRN $STZ",,,,,[],https://twitter.com/15minofPham/status/1214693253145976832
Tuan Pham,@15minofPham,2020-01-07T23:23:35.000Z,"Tuan Pham
@15minofPham
·
Jan 7, 2020","Tues (1/7/20) Options highest ORB, Up/Avg Gain of today's thirteen 30-min bars, G/L % in final 30-Min (Min $10 & Vol 1M, Opt Price $0.51-$0.75 & Vol 500-1000 in any strike): $EXEL $BYND $AMRN $AMAT $ZM $CRM $TSLA $WDC $HAL $RUBI $PEP $LYFT $TSM $LX",,,,,[],https://twitter.com/15minofPham/status/1214689065796132864
TechWins,@techwins,2020-01-07T23:16:45.000Z,"TechWins
@techwins
·
Jan 7, 2020","Replying to 
@ntfri
 and 
@LessIsMor3",,,,2,[],https://twitter.com/techwins/status/1214687343921156096
TechWins,@techwins,2020-01-07T23:12:12.000Z,"TechWins
@techwins
·
Jan 7, 2020","Replying to 
@tev1903
 @LessIsMor3
 and 
@ntfri",,2,,2,[],https://twitter.com/techwins/status/1214686201057144833
Jodie Insights,@jodietheai,2020-01-08T23:45:07.000Z,"Jodie Insights
@jodietheai
·
Jan 8, 2020","Roy Benhorin, Chief Accounting Officer of ZOOM VIDEO COMMUNICATIONS, INC. - $ZM decreased their shareholding by 8% to now own a total of 348694 shares

https://jodie.ai/shareholder/1773302…",,,,1,[],https://twitter.com/jodietheai/status/1215056871377264641
Jodie Insights,@jodietheai,2020-01-08T23:45:06.000Z,"Jodie Insights
@jodietheai
·
Jan 8, 2020","Janine Pelosi, Chief Marketing Officer of ZOOM VIDEO COMMUNICATIONS, INC. - $ZM decreased their shareholding by 2% to now own a total of 275654 shares

https://jodie.ai/shareholder/1773299…",,,,1,[],https://twitter.com/jodietheai/status/1215056869376561153
Fintel,@fintel_io,2020-01-08T23:43:36.000Z,"Fintel
@fintel_io
·
Jan 8, 2020","Insider Benhorin Roy reports selling 32,000 shares of $ZM for a total cost of $2,240,086.40",,,,,[],https://twitter.com/fintel_io/status/1215056490983235584
David Lerner,@EXstrategy,2020-01-08T23:08:56.000Z,"David Lerner
@EXstrategy
·
Jan 8, 2020","$ZM Ghosn Vs. Japan Inc. Says Just Invest In The USA, Presser Confirmed Zoom Video Is A Buy",,,,1,[],https://twitter.com/EXstrategy/status/1215047764578570245
Ripster,@ripster47,2020-01-08T22:56:10.000Z,"Ripster
@ripster47
·
Jan 8, 2020","Daily Wrap

Traded + Alerts
$AYX (Jan 8 Swing) 110-->117 Feb 20 120c +65%
$DOCU (Swing) 76.50-76.20 
 -5% on Feb 20 80c --Active
 -1% Jan 17 77.5c  -- Active

Other Ideas
$WBA Levels: 56 Breakdown idea failed. PM Break and sideways action
$ZM Swing 71-->73 

*All Timestamped",,1,1,23,[],https://twitter.com/ripster47/status/1215044554585448448
Brian,@optionstrades1,2020-01-08T22:13:36.000Z,"Brian
@optionstrades1
·
Jan 8, 2020","$ZM Closed out an options swing trade from Monday today for 60% profit. Small position, but great gain.",,,,,[],https://twitter.com/optionstrades1/status/1215033839590027264
Scott,@livetradepro,2020-01-08T21:46:19.000Z,"Scott
@livetradepro
·
Jan 8, 2020","Here's a great layout of bullish candlestick patterns provided by TrendSpider!

$ZM 3 White Soldiers TODAY! 

Learn more about ""TrendSpider""  https://trendspider.com/?_go=livetpro 

Then please go to my website http://livetradepro.com for information on discounts!",,,,5,[],https://twitter.com/livetradepro/status/1215026975850606592
Flash Alert,@FlashAlert_me,2020-01-08T21:40:16.000Z,"Flash Alert
@FlashAlert_me
·
Jan 8, 2020","$ZM filed SEC form 4: 10% Owner Emergence Capital Partners III, L.P.: 
Disposed 1,625,000 of Class A Common Stock at average price $0 and Acquired 1,625,000 of Class A Common Stock at average price $0 on 2020-01-06, holding 0 shares  https://s.flashalert.me/ouD74",,,,,[],https://twitter.com/FlashAlert_me/status/1215025454043877376
Mega World Order shape shifting pajama trader,@smiths117,2020-01-08T20:45:50.000Z,"Mega World Order shape shifting pajama trader
@smiths117
·
Jan 8, 2020",josh come on push $zm again want to scalp this bad boy,,,,,[],https://twitter.com/smiths117/status/1215011753047797763
Jim,@JJMStocks,2020-01-08T20:42:40.000Z,"Jim
@JJMStocks
·
Jan 8, 2020","12/3 Results

Buy

$CRM 11.3%
$ZS 2.5%
$CLDR 12.3%
$ZM (3.5%)
$BLK 3%

BUY: 5.1%

Hold

$WDAY 5.5% - Down from $220 since 7/19
$FIVE (1%)
$WORK 8.3% - Up 14% since 12/11/19
$ULTA flat
$DOCU 1%
$DG (1%)
$OKTA 7.5% - Overvalued
$CRWD 8% - Broke out Dec 9th, up 12% since

HOLD: 3.5%",✖,1,2,5,[],https://twitter.com/JJMStocks/status/1215010957971210240
Steven Rabin,@SteveRtrader,2020-01-09T22:45:26.000Z,"Steven Rabin
@SteveRtrader
·
Jan 9, 2020",Today $ZM opened on the midline (to the cent) and that held as its high. Often the framework geometry perfectly contains the price.,,,,,[],https://twitter.com/SteveRtrader/status/1215404238823657472
SheepWolf,@realsheepwolf,2020-01-09T20:33:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 9, 2020","$VERB HUGE WEALTH BUILDING OPPORTUNITY
52 WK RANGE .76 - $18.71 MASSIVE UPSIDE
O/S=25m
PATENT PENDING TECH THAT RIVALS $ZM AND HUGE BIG TECH INTEGRATIONS
OVER 900K MEMBERS WITH RECURRING REVENUE AND BACKLOG

$FCEL $SAVA $INPX $CEMI $PULM $DPW $SES $TSLA $NIO $ACHV $GLBS",💫 💫 💫 💫 💫,,4,5,['https://pbs.twimg.com/media/EKYB9l3XYAA6-Zz.jpg'],https://twitter.com/realsheepwolf/status/1215370910833815554
sleekOptions,@sleekoptions,2020-01-09T20:27:54.000Z,"sleekOptions
@sleekoptions
·
Jan 9, 2020",$ZM Was up 2.00 %. Turned negative -0.21 % | (Green to red move) https://sleekoptions.com/sleekscan.aspx?did=ZM…,,,,1,[],https://twitter.com/sleekoptions/status/1215369627762667525
todd120proof,@todd120proof,2020-01-09T19:30:25.000Z,"todd120proof
@todd120proof
·
Jan 9, 2020","Sold $AA at a 3% loss. Didn’t get  the China trade deal bump I wanted.

Adding to $ZM, $UBER, $LYFT.",,,,1,[],https://twitter.com/todd120proof/status/1215355164158320642
StocksGator,@StocksGator,2020-01-09T18:57:56.000Z,"StocksGator
@StocksGator
·
Jan 9, 2020","$ZM today named Best Buy Now by Tom Gardner,  Motley Fool Stock Advisor. I bought today on the recommendation.",,,,1,[],https://twitter.com/StocksGator/status/1215346986808942592
Chris Perruna,@cperruna,2020-01-10T21:51:41.000Z,"Chris Perruna
@cperruna
·
Jan 10, 2020","Stocks to Watch 2020 weekly performance

$CRWD $MDB $OKTA $ZM $SQ $LVGO big winners.

$TCEHY with new 52-week high

http://chrisperruna.com/2020/01/05/stocks-to-watch-2020-final/…",,5,10,57,[],https://twitter.com/cperruna/status/1215753099660402688
mark,@MKT_Gunslinger,2020-01-10T19:02:35.000Z,"mark
@MKT_Gunslinger
·
Jan 10, 2020","#growth #stocks #NewYear2020 back at all time high's after this run since #November w/ $inmd to kick it off. $crwd $pgny $twlo $zs $coup all above 10% gains since buying JAN2. ""worst"" performer $zen 4.81% and $zm $7.58. Got the rest of my $spy $spx #portfolio unwound just in time",,,,2,[],https://twitter.com/MKT_Gunslinger/status/1215710544361066497
SheepWolf,@realsheepwolf,2020-01-10T19:00:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 10, 2020","$VERB ZACK'S STRONG BUY--RISING OFF 5 YEAR LOWS
NOW OVER 937K MEMBERS
SERIES OF NEW FEATURES COMING
LOOK FOR EXECUTION ON PARTNERSHIPS WITH #MICROSOFT, #SALESFORCE AND OTHERS
INTERACTIVE ZOOM $ZM KILLER COMING
NEW REVENUE STREAMS

$CPAH $SRNE $ACRS $HSDT $AQST",💫 ⭐ ⭐ ⭐ ⭐ ⭐ 💵 💵 💵 💵,,1,2,['https://pbs.twimg.com/media/EJrVpDfX0AATwJ7.jpg'],https://twitter.com/realsheepwolf/status/1215709896647245824
SheepWolf,@realsheepwolf,2020-01-10T18:17:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 10, 2020","$VERB ZACK'S STRONG BUY--RISING OFF 5 YEAR LOWS
PATENTED ZOOM ( $ZM) KILLER COMING
LIVE STREAMING VIDEO + INTERACTIVITY 
$ZM MC=$20B $LOGM MC=$3.75B $FB MC=$567B 
 $VERB MC=$40m 

$CRM $ADBE $MSFT $SAVA $JAN $SVRA $TRMD $PIXY $CLVS $AMTD $ORCL $CVSI $PTI $SFET $XCUR $SIRI",💫 ⭐ ⭐ 🎁,,1,,['https://pbs.twimg.com/media/ENlz1g9XYAE9bTy.jpg'],https://twitter.com/realsheepwolf/status/1215699073019338758
apppro,@apppro1,2020-01-10T17:18:16.000Z,"apppro
@apppro1
·
Jan 10, 2020",and while this is ajust 1 example because i had it up BUT $ZM was fine until 12:00 pm. Machines do listen to your.....,,,,,[],https://twitter.com/apppro1/status/1215684294171144192
PSK2329 - JHC,@psk2329,2020-01-11T21:12:27.000Z,"PSK2329 - JHC
@psk2329
·
Jan 11, 2020","Other charts setup/setting up long: $ADBE $ADSK $AXP $PAYC $PLAN $PYPL $ROST $SBUX $SPLK $TEAM $TWLO $TMO $UBER $WDAY $YY $ZM $ZS

short: $AAP $AZO $AVGO $PEP $WMT $CMI",,1,3,8,[],https://twitter.com/psk2329/status/1216105613824008193
Chameleon,@MarketChmln,2020-01-11T20:11:14.000Z,"Chameleon
@MarketChmln
·
Jan 11, 2020",$ZM Open Interest increases 23.2% on the week to a percentile rank of 83%. Put OI increased by 20.3% vs Call OI of 25.1%.  P/C Ratio is 0.6 https://marketchameleon.com/Overview/ZM/OpenInterestTrends/…,🦎,,,,[],https://twitter.com/MarketChmln/status/1216090211517640704
Geert Vuylsteke,@VuylstekeGeert,2020-01-11T17:55:40.000Z,"Geert Vuylsteke
@VuylstekeGeert
·
Jan 11, 2020","UC Trends 2020 - Industry Analysis from Zoom's CEO https://youtu.be/51g8lxEs5r0 via 
@YouTube
 $ZM",,,,,[],https://twitter.com/VuylstekeGeert/status/1216056094746914818
Ripster,@ripster47,2020-01-11T16:38:12.000Z,"Ripster
@ripster47
·
Jan 11, 2020","Needham 22nd Annual Growth Conference 2020 (Jan 14-15)
Scheduled to appear: $OKTA, $DDOG, $DOCU, $COUP, $OLED, $ZM, $ZS, $AVLR, $AYX, $NTNX,  $SMAR $MDB
Keep an eye out as companies present to get more investors.
Personally looking at $DOCU $ZM & $ZS , $DDOG is interesting too",,,5,23,[],https://twitter.com/ripster47/status/1216036598015496192
Ticker Report,@TickerReport,2020-01-11T09:50:47.000Z,"Ticker Report
@TickerReport
·
Jan 11, 2020","Zoom Video Communications Inc $ZM Director Sells $218,750.00 in Stock http://tickerreport.com/?p=4946332",,,,,[],https://twitter.com/TickerReport/status/1215934067771879424
