Date,PriceDiff
2017-12-13,-76.76953125
2017-12-14,143.080078125
2017-12-15,140.458984375
2017-12-18,-37.44921875
2017-12-19,-28.099609375
2017-12-20,55.638671875
2017-12-21,-28.228515625
2017-12-22,-7.849609375
2017-12-26,28.08984375
2017-12-27,63.208984375
2017-12-28,-118.2890625
2017-12-29,
