date,sentiment_score,sentiment_label
2021-08-23,0.0386375,Neutral
2021-08-24,0.0,Neutral
2021-08-25,0.08355,Positive
2021-08-26,0.06642666666666668,Positive
2021-08-27,0.19705,Positive
2021-08-29,-0.07038333333333333,Negative
2021-08-30,0.05162456140350878,Positive
2021-08-31,0.049941791044776106,Neutral
2021-09-01,-0.05011666666666667,Negative
2021-09-02,0.10368749999999999,Positive
2021-09-03,0.07279999999999999,Positive
2021-09-04,0.17020000000000002,Positive
2021-09-06,0.0,Neutral
2021-09-07,0.10856000000000003,Positive
2021-09-08,0.1761222222222222,Positive
2021-09-09,0.1748333333333333,Positive
2021-09-10,-0.12965,Negative
2021-09-11,-0.0129,Neutral
2021-09-12,0.0,Neutral
2021-09-13,0.08243333333333333,Positive
2021-09-14,0.23835,Positive
2021-09-15,0.13188,Positive
2021-09-16,0.14341428571428572,Positive
2021-09-17,0.0632,Positive
2021-09-18,0.0,Neutral
2021-09-19,0.0,Neutral
2021-09-20,0.0,Neutral
2021-09-21,0.10209230769230769,Positive
2021-09-22,0.17290999999999998,Positive
2021-09-23,-0.08038000000000001,Negative
2021-09-24,0.23343333333333335,Positive
2021-09-25,0.7783,Positive
2021-09-27,0.0,Neutral
2021-09-28,-0.1676333333333333,Negative
2021-09-29,0.066,Positive
2021-09-30,0.057172727272727264,Positive
2021-10-01,0.11244444444444444,Positive
2021-10-02,0.12726666666666667,Positive
2021-10-03,0.44789999999999996,Positive
2021-10-04,0.11097142857142858,Positive
2021-10-05,0.17,Positive
2021-10-06,0.19116666666666668,Positive
2021-10-07,0.14613333333333334,Positive
2021-10-08,0.021437500000000012,Neutral
2021-10-09,0.12040000000000001,Positive
2021-10-10,0.3758,Positive
2021-10-11,0.2567857142857143,Positive
2021-10-13,0.26769999999999994,Positive
2021-10-14,-0.1468,Negative
2021-10-15,0.126975,Positive
2021-10-18,0.135625,Positive
2021-10-19,0.244725,Positive
2021-10-20,0.21833333333333335,Positive
2021-10-21,0.059930000000000004,Positive
2021-10-22,0.13555999999999999,Positive
2021-10-25,0.071625,Positive
2021-10-26,0.28373333333333334,Positive
2021-10-27,0.0,Neutral
2021-10-28,0.1036,Positive
2021-10-29,-0.006814285714285713,Neutral
2021-10-31,0.4939,Positive
2021-11-01,0.14838,Positive
2021-11-02,0.0,Neutral
2021-11-03,0.1858,Positive
2021-11-04,0.0,Neutral
2021-11-05,0.1899,Positive
2021-11-06,0.0,Neutral
2021-11-07,0.0,Neutral
2021-11-08,-0.07955,Negative
2021-11-09,0.2516,Positive
2021-11-10,0.17200000000000001,Positive
2021-11-11,-0.07543333333333334,Negative
2021-11-12,0.10293333333333334,Positive
2021-11-13,0.2023,Positive
2021-11-14,0.4939,Positive
2021-11-15,0.02591666666666666,Neutral
2021-11-16,-0.06292,Negative
2021-11-17,0.0,Neutral
2021-11-18,0.30042,Positive
2021-11-19,-0.07708,Negative
2021-11-21,0.0,Neutral
2021-11-22,0.1551138888888889,Positive
2021-11-23,0.01310952380952381,Neutral
2021-11-24,0.18213846153846153,Positive
2021-11-25,-0.16385,Negative
2021-11-26,-0.04088181818181818,Neutral
2021-11-27,0.0,Neutral
2021-11-28,0.6597,Positive
2021-11-29,0.06190909090909091,Positive
2021-11-30,0.050825,Positive
2021-12-01,-0.12389999999999998,Negative
2021-12-02,0.16831249999999998,Positive
2021-12-03,0.18116,Positive
2021-12-04,0.0,Neutral
2021-12-05,0.2671,Positive
2021-12-06,-0.00897,Neutral
2021-12-07,0.25523333333333337,Positive
2021-12-08,0.2693,Positive
2021-12-09,0.14894999999999997,Positive
2021-12-10,0.0,Neutral
2021-12-11,0.20165,Positive
2021-12-13,0.07568,Positive
2021-12-14,0.27598,Positive
2021-12-15,-0.002999999999999999,Neutral
2021-12-16,0.1438076923076923,Positive
2021-12-17,0.2670625,Positive
2021-12-18,0.38849999999999996,Positive
2021-12-19,0.3404,Positive
2021-12-20,0.09081111111111112,Positive
2021-12-21,-0.14985,Negative
2021-12-22,0.26555,Positive
2021-12-23,0.1101,Positive
2021-12-24,0.05385000000000001,Positive
2021-12-26,0.2023,Positive
2021-12-27,0.14652857142857142,Positive
2021-12-28,0.12488333333333333,Positive
2021-12-29,-0.30696666666666667,Negative
2021-12-30,0.5086857142857143,Positive
2022-01-01,0.1928846153846154,Positive
2022-01-02,0.0,Neutral
2022-01-03,0.14471818181818183,Positive
2022-01-04,0.010080000000000002,Neutral
2022-01-05,0.0,Neutral
2022-01-06,0.03157499999999999,Neutral
2022-01-07,0.5267,Positive
2022-01-08,0.26335,Positive
2022-01-09,0.0,Neutral
2022-01-10,0.07636,Positive
2022-01-11,0.22071999999999997,Positive
